2026-04-22 10:07:50.047 [http-nio-8080-exec-4] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-22 10:07:50.054 [http-nio-8080-exec-4] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 7 ms
2026-04-22 10:08:03.202 [http-nio-8080-exec-9] INFO  c.q.p.d.DataUpdateController - 启动数据更新任务: source=ALL, market=ALL, startDate=, endDate=
2026-04-22 10:08:03.271 [data-update-TASK-1776823683202] INFO  c.q.p.dataupdate.DataUpdateService - [DataUpdate] 进程已启动, PID=50888, cmd=[python, -u, update_index_daily_baostock.py, --start-date, 2026-04-19, --end-date, 2026-04-22]
2026-04-22 10:08:12.768 [data-update-TASK-1776823683202] INFO  c.q.p.dataupdate.DataUpdateService - [DataUpdate] 任务 TASK-1776823683202 结束, 状态: SUCCESS
2026-04-22 10:08:21.607 [http-nio-8080-exec-8] INFO  c.q.p.d.DataUpdateController - 启动数据更新任务: source=ALL, market=ALL, startDate=2026-04-19, endDate=2026-04-22
2026-04-22 10:08:21.625 [data-update-TASK-1776823701607] INFO  c.q.p.dataupdate.DataUpdateService - [DataUpdate] 进程已启动, PID=38704, cmd=[python, -u, update_stock_daily_baostock.py, --market, SH, --start-date, 2026-04-19, --end-date, 2026-04-22, --resume]
2026-04-22 10:08:26.724 [data-update-TASK-1776823701607] INFO  c.q.p.dataupdate.DataUpdateService - [DataUpdate] 进程已启动, PID=42308, cmd=[python, -u, update_stock_daily_baostock.py, --market, SZ, --start-date, 2026-04-19, --end-date, 2026-04-22, --resume]
2026-04-22 10:08:33.127 [data-update-TASK-1776823701607] INFO  c.q.p.dataupdate.DataUpdateService - [DataUpdate] 进程已启动, PID=2940, cmd=[python, -u, update_bj_stock_daily_qq.py, --start-date, 2026-04-19, --end-date, 2026-04-22, --resume]
2026-04-22 10:10:49.293 [data-update-TASK-1776823701607] INFO  c.q.p.dataupdate.DataUpdateService - [DataUpdate] 任务 TASK-1776823701607 结束, 状态: SUCCESS
2026-04-22 10:11:54.828 [http-nio-8080-exec-6] INFO  c.q.p.d.DataUpdateController - 启动数据更新任务: source=ALL, market=ALL, startDate=2026-04-19, endDate=2026-04-22
2026-04-22 10:11:54.839 [data-update-TASK-1776823914829] INFO  c.q.p.dataupdate.DataUpdateService - [DataUpdate] 进程已启动, PID=4580, cmd=[python, -u, update_stock_daily_baostock.py, --market, SH, --start-date, 2026-04-19, --end-date, 2026-04-22, --resume]
2026-04-22 10:11:57.673 [data-update-TASK-1776823914829] INFO  c.q.p.dataupdate.DataUpdateService - [DataUpdate] 进程已启动, PID=26176, cmd=[python, -u, update_stock_daily_baostock.py, --market, SZ, --start-date, 2026-04-19, --end-date, 2026-04-22, --resume]
2026-04-22 10:12:00.515 [data-update-TASK-1776823914829] INFO  c.q.p.dataupdate.DataUpdateService - [DataUpdate] 进程已启动, PID=43436, cmd=[python, -u, update_bj_stock_daily_qq.py, --start-date, 2026-04-19, --end-date, 2026-04-22, --resume]
