
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.2.3)

2026-05-04 22:01:40.314 [http-nio-8080-exec-6] INFO  c.q.p.s.a.service.AnalysisService - 开始分析个股: code=600519
2026-05-04 22:01:40.848 [http-nio-8080-exec-6] INFO  c.q.p.s.a.service.AnalysisService - 个股分析完成: code=600519, totalScore=56, action=HOLD
2026-05-04 22:01:42.634 [http-nio-8080-exec-7] INFO  c.q.p.s.a.service.AnalysisService - 获取研报分析: code=600519
2026-05-04 22:02:48.360 [http-nio-8080-exec-8] INFO  c.q.p.s.a.service.AnalysisService - 开始分析个股: code=600519
2026-05-04 22:02:48.992 [http-nio-8080-exec-8] INFO  c.q.p.s.a.service.AnalysisService - 个股分析完成: code=600519, totalScore=56, action=HOLD
2026-05-04 22:02:49.352 [http-nio-8080-exec-10] INFO  c.q.p.s.a.service.AnalysisService - 获取研报分析: code=600519
2026-05-04 22:03:37.193 [http-nio-8080-exec-9] INFO  c.q.p.s.a.service.AnalysisService - 开始分析个股: code=600519
2026-05-04 22:03:37.788 [http-nio-8080-exec-9] INFO  c.q.p.s.a.service.AnalysisService - 个股分析完成: code=600519, totalScore=56, action=HOLD
2026-05-04 22:03:39.664 [http-nio-8080-exec-1] INFO  c.q.p.s.a.service.AnalysisService - 获取研报分析: code=600519
2026-05-04 22:05:45.708 [http-nio-8080-exec-3] INFO  c.q.p.s.a.service.AnalysisService - 开始分析个股: code=600519
2026-05-04 22:05:46.330 [http-nio-8080-exec-3] INFO  c.q.p.s.a.service.AnalysisService - 个股分析完成: code=600519, totalScore=56, action=HOLD
2026-05-04 22:05:46.509 [http-nio-8080-exec-4] INFO  c.q.p.s.a.service.AnalysisService - 获取研报分析: code=600519
2026-05-04 22:06:17.924 [http-nio-8080-exec-2] INFO  c.q.p.s.a.service.AnalysisService - 获取研报分析: code=600519
2026-05-04 22:06:46.189 [http-nio-8080-exec-6] INFO  c.q.p.s.a.service.AnalysisService - 开始分析个股: code=600519
2026-05-04 22:06:46.824 [http-nio-8080-exec-6] INFO  c.q.p.s.a.service.AnalysisService - 个股分析完成: code=600519, totalScore=56, action=HOLD
